,id,duration_ms,key,liveness,mode,explicit
142,2tpWsVSb9UEmDRxAl1zhX1,257267,1,0.118,0,False
143,1bDbXMyjaUIooNwFE9wn0N,239360,11,0.355,0,True
144,456WNXWhDwYOSf5SpTuqxd,252819,7,0.119,1,False
145,2Hh3ETdQKrmSI3QS0hme7g,199920,7,0.122,0,True
146,13Z5Q40pa1Ly7aQk1oW8Ce,221936,8,0.11,1,True
147,6VhuP99TE6gYNQRJIlAWFD,176667,10,0.189,1,False
148,4hKLzFvNwHF6dPosGT30ed,140323,3,0.134,0,True
149,1MB8kTH7VKvAMfL9SHgJmG,215600,11,0.232,0,False
150,7Lkxvfl2rkNYWS4kBDCQtN,155173,9,0.0706,0,True
151,4FyesJzVpA39hbYvcseO2d,123891,11,0.0642,1,True
152,0vjeOZ3Ft5jvAi9SBFJm1j,182667,5,0.194,0,True
153,2AaaE0qvFWtyT8srKNfRhH,222707,7,0.1,1,False
154,2L9N0zZnd37dwF0clgxMGI,182888,9,0.215,1,False
155,3Gs7mVfWKl567mjozgxmXv,187653,7,0.104,1,False
156,46IZ0fSY2mpAiktS3KOqds,224695,5,0.133,1,False
157,4ewazQLXFTDC8XvCbhvtXs,233456,8,0.141,1,False
158,0UbesRsX2TtiCeamOIVEkp,136913,8,0.139,1,True
159,6dBUzqjtbnIa1TwYbyw5CM,213920,5,0.096,0,False
160,1zv3WFUbZ5vPxFq9I2jAU1,215227,1,0.108,1,False
161,5FVd6KXrgO9B3JPmC8OPst,272394,5,0.217,1,False
162,04ndZkbKGthTgYSv3xS7en,174370,9,0.307,1,False
163,7qiZfU4dY1lWllzX7mPBI3,233713,1,0.0931,0,False
164,51vRumtqbkNW9wrKfESwfu,182149,4,0.107,0,False
165,5Eax0qFko2dh7Rl2lYs3bx,213061,7,0.0639,0,True
166,5QO79kh1waicV47BqGRL3g,215627,0,0.543,1,True
167,3F5CgOj3wFlRv51JsHbxhe,218365,0,0.093,1,True
168,6dXiWwFrcGieqnoLYzPNp5,243725,2,0.123,1,False
169,6otePxalBK8AVa20xhZYVQ,164387,0,0.146,1,False
170,0B7wvvmu9EISAwZnOpjhNI,213827,0,0.144,1,False
171,5gDWsRxpJ2lZAffh5p7K0w,111627,5,0.104,0,False
172,2J2Z1SkXYghSajLibnQHOa,217747,9,0.101,1,False
173,5RX8T3EoTuXcybAxe6oPAw,175161,2,0.111,1,False
174,70LcF31zb1H0PyJoS1Sx1r,238640,7,0.129,1,True
175,3azJifCSqg9fRij2yKIbWz,226467,6,0.0863,0,False
176,6RUKPb4LETWmmr3iAEQktW,247160,11,0.164,0,False
